id,participant_id,scenario,context,form,knowledge,competent,well_prepared,knowledgeable,helpful,likeable,pedantic,t2_response,t2_knewExact,t2_notKnow,t2_fussyPerson,t2_easySpeaker,t2_usualApx,t2_needed,t2_realWorld,t2_purpose,t2_infoNotAvail,t2_infoAvail,t2_cautious,t2_presentation,t2_helpful,t2_easierHearer,t2_emphasis,t2_failure,t2_badInfo,t2_other,t3_appropriate,t3_giveMore,t3_avoidFalse,t3_didntKnow,t3_easierUnderstand,t3_soundSmart,t3_soundEasygoing,t3_easierSpeaker,t3_tooMuchInf,t3_none,t4_speakerType
1,931603,absence,lowPr,precise,unknown,5,5,7,6,6,6,Carter answered the question this way because he is not good in English ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
2,931607,house,lowPr,precise,unknown,6,6,7,6,5,6,I assumed he knew the exact date because it was significant to him as a memory or experience of moving into the house. ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
3,931615,conference,lowPr,precise,unknown,7,7,7,7,4,4,Logan is prepared and knows the exact number of attendees. I think this shows that Logan is knowledgeable and prepared.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
4,931621,cinema,lowPr,precise,unknown,6,6,6,6,5,5,"I think they might have already considered leaving, and checked the movie runtime to know when that would be possible.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3
5,931624,conference,lowPr,precise,unknown,6,7,7,7,4,2,He knows the exact number of people who are confirmed to be attending. There was no need to say an estimated amount in this case.,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6
6,931625,bike,lowPr,precise,unknown,5,6,5,6,4,2,Jamie wanted her friend to know EXACTLY how much the bike cost.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
7,931626,cinema,lowPr,precise,unknown,6,6,6,6,4,6,"He probably did the math and looked it up to see the runtime, making him super prepared. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4
8,931628,absence,lowPr,precise,unknown,7,7,7,7,5,4,"It's possible that Carter has been handling Mark's work while he's out, so he knows exactly how long Mark has been out. He would be counting the days since it is affecting him.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3
9,931629,bike,lowPr,precise,unknown,6,7,7,7,5,6,"I think Jamie wanted to come off like a ""know-it-all"" by giving the exact price of the bike right down to the cents, not realizing that if they wanted to be super helpful, they could have given the total WITH tax.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7
10,931633,conference,lowPr,precise,unknown,5,7,7,7,5,4,I think he answered this way to let his friend know exact details instead of offering a vague remark. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4
11,931635,absence,lowPr,precise,unknown,6,6,6,6,5,5,The speaker Kept track of coworkers absence.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
12,931636,house,lowPr,precise,unknown,7,7,6,7,5,7,"he's probably neurodivergent and his brain is more attuned to dates and less attuned to social norms, like using a more generalized date",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
13,931638,bike,lowPr,precise,unknown,5,4,4,5,4,4,She answered that way because she knew the exact cost of the bike so she gave the full detailed answer. ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
14,931641,conference,lowPr,precise,unknown,7,7,7,7,6,4,They seem very data-driven.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6
15,931642,cooking,lowPr,precise,unknown,5,5,5,6,3,6,I think Taylor might be a very precise person who cares a lot about accuracy.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,6
16,931644,absence,lowPr,precise,unknown,6,6,5,7,4,7,He is a person that is very precise with his words and answers.  He knows exactly when he last saw Mark.  He has a mind that is very good with dates.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
17,931645,bike,lowPr,precise,unknown,5,6,6,7,4,3,He wanted to brag about the value of his bike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
18,931646,bike,lowPr,precise,unknown,3,4,2,3,2,1,I think he wants his friend to know that he will be paying every dime involved to get the bicycle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1
19,931647,conference,lowPr,precise,unknown,4,3,6,3,4,4,Because he wanted to be concise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,931648,cinema,lowPr,precise,unknown,5,6,5,5,3,6,"Quinn doesn't seem to be the person who rounds times. To Quinn 12 is a precise time, just as 11:47 is.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5
21,931650,conference,lowPr,precise,unknown,6,6,7,6,4,5,I think that Logan must be very involved and knowledgeable about the conference and knows exactly how many people have signed up.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3
22,931651,bike,lowPr,precise,unknown,7,6,7,7,6,2,To provide a more accurate cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
23,931652,absence,lowPr,precise,unknown,7,7,7,7,6,6,"I wonder if Carter has to perform Mark's work duties while Mark is away and Carter doesn't necessarily want to be doing Mark's duties for so long. Therefore, Carter is keenly aware of exactly how long Mark has been gone.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5
24,931655,cinema,lowPr,precise,unknown,6,6,5,5,5,4,"Some places close at 12, so he may be saying the exact time to show how much time they have to go out for drinks.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5
25,931656,absence,lowPr,precise,unknown,7,7,7,7,7,7,He was damn sure about his response,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
26,931657,cooking,lowPr,precise,unknown,4,4,4,4,4,6,Because they are very anal about being very precise about things.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
27,931658,conference,lowPr,precise,unknown,6,6,6,6,6,2,I think Logan may be proud of and excited by the turnout. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3
28,931659,cinema,lowPr,precise,unknown,2,4,2,5,4,3,because that is the exact time its gonna ellapse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3
29,931660,cinema,lowPr,precise,unknown,1,7,1,7,7,4,not to get late,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7
30,931661,bike,lowPr,precise,unknown,7,6,6,7,6,3,"I think she was just being exact, and that is how some people are. ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
31,931663,conference,lowPr,precise,unknown,5,4,6,6,4,4,Logan knew the exact number that were supposed to attend.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6
32,931665,absence,lowPr,precise,unknown,7,7,7,7,5,2,It may have been in a more official capacity and necessary knowledge the person required for a job task. Being more precise will be more valuable.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
